discourse_id,essay_id,discourse_text,discourse_type,discourse_effectiveness
7da6d74a7627,015BB7DA58EE,If the technology could be used with just a webcam then you could just look at your students face and see if they are bored or off task and make the lesson more enjoyable. We could just look at the precentages of the kids facial expressions like how they found out how the Mona Lisa's smile was mostly happy. ,Evidence,Adequate
5431a13b4893,015BB7DA58EE,In conclution we could make our childrens classroom experiences more enjoyable. Even if it is a little creepy to have a software that watches you for your whole classroom experience. But it mostlikely is worth it to make shcool more enjoyable for the kids in them. ,Concluding Statement,Adequate
15f46d6913df,0167BBA84E43,Do you really thing a land form could make a face ? To me that seems something is very unlikely. A planet that we do not look alike can make a face as a organism on earth? ,Lead,Adequate
18e84569101a,0167BBA84E43,The photo isn't clearly shown as a face it just looks like a planets land form ,Claim,Adequate
a348497d43c2,0167BBA84E43,"It may aslo be a feture that is only unique to this palnet like the moon has thousands of craders. I just feel as if Earth has all the water and green grass on it mayb Mars has these land forms instead. Also it might be like how people gaze at the stars or the clouds to see if they make an object or a human face. If you look closley you can see that the

""face"" has ridges or canyon. So maybe the ridegs/canyons made the land form that way ",Evidence,Adequate
5983efd986b0,0167BBA84E43,NASA on the other hand and says there is likelyness of a human face. They also believe it is an alien artifac ,Counterclaim,Ineffective
9373ad480e79,0167BBA84E43,"According to the picture they say because of the shadows it portraies eyes, nose and mouth. They say that in the years that they took the picture it has developed more and more over the spands of years. 
",Evidence,Ineffective
f1f8daa23ba7,0167BBA84E43,"In conclusion the ""face'' to me is still just a land form. ",Position,Adequate
d64021d415d7,0167BBA84E43,Just because it looks as if it is something could not just be made out of a human face. If they had more evidence then it would be believeable but until then my opnion is still that it is a land form.      ,Concluding Statement,Adequate
218bfd96197d,0168325D0E24,"Being in a car is how we transport ourselves to and from places. Now what would you do if you had to give up your car. Yes, some people didnt mind giving up their cars but not everyone would be ok with this. We have gotten so used to driving cars that i don't know what some people would do if they had to give up their means of transportation. Its also another factored that what if someone had to drive a long ways, it would take them even longer to get where they're going. Its a very serious topic when you think of how much time one person spends in a car. ",Lead,Adequate
599e5e16e9ed,0168325D0E24,"Well Paris has enforced a driving ban to help clear the air of pollution. ""On mondays motorists with even-numbered license plates were ordered to leave their cars at home or suffer a 22-euro fine ($31). The same would apply to odd-numbered plates the following day."" Many people, in Paris, were fined for driving on the wrong day. Paris wanted to do something about the smog that was surrounding their beautiful city, so they figured if there wasnt as many cars polluting the air then the smog would go away. ",Evidence,Adequate
a398be97f2b7,0168325D0E24,It actually helped having cars stop driving on certain days because the smog actually cleared. ,Claim,Adequate
38a6679de2ed,0168325D0E24,"""Recent studies suggest that Americans are buying fewer cars, driving less, and getting fewer licenses as each year goes by."" American has always had a thing for cars but lately that seems to be a false statement. ",Evidence,Adequate
f1cc93a81a32,0168325D0E24,"In the more populated citys, people are using more bikes and less cars. Its easier to get around a city where there are thousands of people on the streets alone. ",Claim,Effective
1e8d962ccf47,0168325D0E24,"Internet maybe a huge reason why theres less dringing because it feels like your more connected with your friends and family without actually having to go anywhere. The need for cars in the U.S. has gone down dramadically. 
",Evidence,Adequate
417f54b08a30,0168325D0E24,"Ever been to a place where there are no cars aloud. Well in Vauban, Germany there is a place where if you want to go there you have to give up your car. ""Street parking, driveways and home garages are generally forbidden is this experimental new district on the outskirts of Freiburg."" People are happier without the stress of a car says Heidrun Walter. ",Evidence,Adequate
dc6acebcd4c0,0168325D0E24,"This is a place for clean air and no pollution from the car fumes. As of right now, this experiment seems to be running quite nicely. ",Claim,Effective
6d9d88dcdb54,0168325D0E24,"In all actuality, how many people dont realize how long they spend of their life in a car? If one day all cars in the world were banned, how would everyone recate? Some people may want to give up their cars, some people may not want to give up their cars ",Concluding Statement,Adequate
d4e5221d31d2,0168325D0E24,"There are many sides to people giving up their cars. Some people are truly happy and some are not. It may not be that bad, i mean how did people manige before cars were even invented ",Position,Ineffective
40556d737dae,0168325D0E24,"In one acrtical, it say there is a place where no cars are aloud but it also says that that place is an experimental project. In the end cars are just no as popular as they used to be. is that a good or bad thing, you decide.                ",Concluding Statement,Adequate
268da7edc231,01AFC67DF935,"President Obama has done nothing to improve our society.  If anything, he has created the worst society this world has ever seen. 
",Lead,Ineffective
2afcaec42c9c,01AFC67DF935,"Limiting our usage of any type of motorized vehicle, would not only decrease air pollution but it would also help with adults or children that may not exercise enough.  ",Position,Adequate
af569f0ddf09,01AFC67DF935,"Also when riding in or driving a motorized vehicle, your could get into an accident.  Getting into an accident in a vehicle could have much more fatal result than you walking, jogging, or even riding a bicycle. 
",Evidence,Adequate
917cc7fc5ca4,01AFC67DF935,"Although walking, jogging, or riding a bicycle isnt must safer than riding in a vehicle.  ",Counterclaim,Adequate
4e718381101b,01AFC67DF935,"You could be walking along when a stranger may walk up out of nowhere, beat you up, and could hurt you very badly.  They may also take your wallet/purse.  Depending on who the person is, you could end up with a black eye, cut or busted lip/eye, or anything miner; while if the wrong person gets ahold of you, you could end up in the hospital needing surgery, transplant of some sort, or could even loose your life. ",Evidence,Adequate
a2a95e4cd114,01AFC67DF935,"Also, owning a car could could put someone in debt.  ",Claim,Adequate
0adaf1d049b4,01AFC67DF935,"Falling behind on payments could be devastating to you and your family.  When the car company comes to reposses your vehicle, you could end up having to walk, jog, or even ride a bike. ",Evidence,Adequate
826b1039775a,01AFC67DF935,So whether you like it or not everything has consequences.    ,Concluding Statement,Adequate
9c59442be6db,01B52B1D14F8,"So, in the article ""Making Mona Lisa Smile,"" the author describes how a new technology called the Facial Action Coding System enables computers to indentify human emotions. ",Lead,Adequate
3f45cda4e0b0,01B52B1D14F8,After reading the article I really could'nt decide. When reading about the FACS the first thing that came to my mind was to use this technology on the faces of celeberties. ,Evidence,Ineffective
6ba8f4c85956,01B52B1D14F8,Well it's because it would be fun to do so. In my opinion that's what it's most useful for in classrooms. ,Claim,Adequate
8a0d92309806,01B52B1D14F8,Sure the teacher could use this technology to teach students about how advanced the humans have become but.. ,Counterclaim,Ineffective
e890c3ba9d81,01B52B1D14F8,Imagine being a teacher and then one day you introduce the FACS to your students. What do you think the first thing they do would be? I think the first thing they would do is take selfies and let the FACS analyze thier face. Then they laugh at the results. ,Evidence,Adequate
b9be259b07fa,01B52B1D14F8,See they are doing it for fun. ,Rebuttal,Adequate
9732378cc532,01B52B1D14F8,"This reminds me of disecting frogs in biology. Some students think it's useful for your education while some other students think it's a waste of time, a waste of life for the frogs and that disecting them in the first place is already digusting. But do they do this for fun. NO they don't. They do it to learn about the oragns of the frogs and the purpose of each organ. But is disecting frogs valuable? Yes in my opinion. ",Evidence,Ineffective
7d71dae9cdbf,01B52B1D14F8,"So, no I don't think it's classroom valuable to use FACS. ",Position,Adequate
b2dc14b0cafc,01B52B1D14F8,But that dosen't mean that you should not let them try it. ,Counterclaim,Adequate
19b8004b9213,01B52B1D14F8,"Here's what the teachers should do. They show the students a picture of someones face. Lets just say for example Mona Lisa. The students will stare at the picture for about a minute carefully looking at every part of Mona Lisa's face. Then the students will decide Mona Lisa's emotion by rating her happiness, sadness, anger, digust or any other kind of emotions. Then after that the teacher uses the FACS on Mona Lisa's face to see if the results for Mona Lisa's emotions from the technology is the same as the results from the students. ",Evidence,Adequate
c154a240940d,01B52B1D14F8,Human vs Technology there you go.    ,Concluding Statement,Adequate
4a7d11406893,01E9D9CD5CBF,"The study the ability of humans to read subatle changesin facial expressions, thast they appiled reverse correlation technique to reveal visual features that mediate understanding of emotion expressed by the face. Suprising finding were that (1) the noise added to test face image had profound effect on the facail expression and (2) in most every istance the new expression was meaningful.

All 44 major muscles in the mode must move like human muslces. Movemment of one or more mucles is called an ""action unit"" Then Dr. Pual Eckam, creator of (FACS) Ekman has classified six basic emotions- happeniess, suprise, anger, disgust, feat and sadness. In the text it states,""The soft wear is the latest innovatiobn from Prof. Thomas Huang, of the Beckman Institiute for Advance Science at the University of

Illinois."" Dr. Huag and colleague are experts at developing better ways fo humans and computers to communicate. The faical expressions for each emotion are univeral, observers Dr. Huang, even thought individuals often show varying degrees of expression (like smiling broadly). Using video imagery, the new emotion-recqizing softwear facture these movements.

The study the ability of humans to read subatle changesin facial expressions, thast they appiled reverse correlation technique to reveal visual features that mediate understanding of emotion expressed by the face. The process begins whwne the computer constructs a 3-D comupter Model. ",Evidence,Ineffective
6d6e1d40b9b1,01E9D9CD5CBF,"The study the ability of humans to read subatle changesin facial expressions, thast they appiled reverse correlation technique to reveal visual features that mediate understanding of emotion expressed by the face. Facial expression not only expresses emtions but also even help reproduce them. The thought of making faces could reveal so much about the science of emotions. ",Concluding Statement,Adequate
bbd2ffd5524f,01F69867D1BE,Have you ever ever been required to do a summer project that your not intreasted in? Certain schools in America require students to complete summer projects to ensure they are still learning over break. Students are often assined teacher designed projects. While most students complete these over summer projects many students don't due to lack of intrest in the assined topic. ,Lead,Effective
d149f0653fd1,01F69867D1BE,To improve student input schools should move towards student designed projects so students will be more intrested and and involved in the project. ,Position,Effective
d9f3089308c7,01F69867D1BE,"While a summer project is not something most students would like to do over there break, teachers could allow there students to choose a topic or unit to base there project on. ",Claim,Effective
199aea4ae355,01F69867D1BE,Students can use this to there advantage and choose a topic they were intreasted. Students could learn and still enjoy working on the project. Students also have an easier time working on topics that they have knowledge on allowing them to complete there work easily. Students can take advantage of being able to design there own project and choose a topic or unit that they struggled on through out the year. Working on these weak points can strengthen your skills for next school year. Students can go back and look at past notes and worksheets helping improve there skills in that topic. ,Evidence,Effective
6a1cca1e1142,01F69867D1BE,"Students being able to design there projects could allow the student to create something they enjoy doing over the summer with friends and family, rather then students thinking of it as another teacher assined project that is boring ",Claim,Effective
f4416adbb49e,01F69867D1BE,Instead they can create something that they think of as fun but still educates them. They could also use this project to study or learn upcoming cirriculum for next year. This would allow the student to get a head start on future units and topics. ,Evidence,Adequate
7a19c3831933,01F69867D1BE,"
Overall schools that require summer break projects should move towards student designed projects over teacher designed ones. When students have the ability to choose from certain topics and units they can decide what is best for them. Using the project to work on material that they were intrested in through out the year and want to further research and learn about or use the oppurtunity to study material that the student had trouble with over the school year so that they can be caught up for next year. Furthermore students can create projects that will help them with future cirriculum for next year. In conclusion schools should use student designed projects because it allows the student to choose how they want to utilize the time for either further studying a topic, going back and reviewing areas they had trouble in or learning future topics for next school year. ",Concluding Statement,Effective
8ce8856c5e66,021663FD2F2E,"In The article ""Making The Mona Lisa Smile"" by Nick D'Alto how the new technology called the Facial Action Coding System enables computers to identify human emotions ",Lead,Adequate
5fabd9b3a221,021663FD2F2E,this new technology is valuable. ,Position,Adequate
d1c5f0d13151,021663FD2F2E,"The Mona lisa demonstration really intended to bring a smile to your face this while just imagine how a computer knows when you're happy or sad thats crazy. For example, if you smile as soon as a web ad appears on the screen another ad will follow. Lets say that you frown the next ad will be different from the one you smiled on. Another thing a classroom computer can know when students are becoming to be confused or bored.

How the start of the porcess is when the computer contracts a 3-D computer model of the face all of the 44 major muscles on the model must have move like human muscles. Eckamn has classified six emotions for example anger, surprise, fear, sadness and happiness. Movement for more than one muscle is called a unit.

In fact us human perfrom this impressive called calculation we use it everyday. For example, you could tell how your friend is feeling by looking at his or her face. most us would have trouble describing each others facial trit that makes us happy or worried. Yet Dr. Huang observes artist like Leonardo Da Vinci he studied human anatomy to help them paint facial muscles to have enough convey specific type of emoitions. ",Evidence,Ineffective
da54c636c445,021663FD2F2E,However the new technology is valuable by telling you how what are your human emotions. For example a classroom computer can show when a student is bored or getting confused. Also it can classified six different motions ,Claim,Adequate
73c183f965dd,021663FD2F2E,Therefore this New technology is valuable for the students in classrooms.      ,Concluding Statement,Adequate
f6c1cbd86aff,022EE73C4244,"Almost every student knows the dread of going back to school. The easy and laid back summer fads out and suddenly it's back to the old grind. The sleeping in till noon goes back to waking up at six, bathing suits get put back in the closet, and the sun tans fade. Yet, almost every student can relate to the one thing that always keeps them tied to school during the summer, the dreaded summer assignment. It could be a book report or a math packet, either way it burns in the back of their minds while they cannonball into pools. It seeps into thoughts while they try to fall asleep. ",Lead,Effective
fe37cadc0c6b,022EE73C4244,"If teachers gave students the opportunity to discover their own work, and maybe even a passion, students work would be of a higher quality and it might actually have them excited to go back to school. ",Position,Effective
5ac75720d785,022EE73C4244,"When someone decidedly does not like something, you can't force them to like it, no matter how hard you try. That is what it can feel like for students when teachers assign work that is not interesting to them over and over again. There is no way for every part of classwork to interest students, but teachers could make an effort to make the one assignment that no one wants to do over the summer, interesting. ",Evidence,Adequate
315a20da8ef8,022EE73C4244,"When students have the ability to decide what they will study in a project, they are more excited and more willing to get the work done. ",Claim,Effective
5d1e0a284fca,022EE73C4244,Having students choose their project will save both the teachers and students from the painful force feeding of information. ,Evidence,Adequate
3726d4fd11d5,022EE73C4244,"Now, this assignment can not be a free for all, that would not be completely fair. There may be some students who go above and beyond while some may do the bare minimum and call it done. ",Counterclaim,Effective
a5b52f9c901e,022EE73C4244,To avoid this scenario teachers could implement some sort of rubric or guidelines for what the student chosen project would have to include and how they will go about grading it. This way the playing field is level and everyone has the opportunity to succeed. ,Rebuttal,Effective
e3354441c900,022EE73C4244,A common issue faced with summer work is the student procrastination. Obviously no one wants to do schoolwork on their vacation so it is common practice to put it off for as long as possible and then rush the night before. Even if there was three months to do it! ,Evidence,Adequate
a25ac5272d77,022EE73C4244,"With a student chosen project, students may feel more inclined to do their work because working on something that interests them won't feel like such a chore. ",Claim,Effective
66e5faf2eabb,022EE73C4244,"The end of summer is not fun for anyone involved, students and teachers alike. Why would we want to dampen the vacation with unexciting work looming over students heads the whole time. Students should feel excited to go back to school and be they should have something to look foward to sharing with their classes. It is common knowledge that doing work that is uninteresting to you lowers your performance and makes the work that much more of a chore. With student selected summer assignments we can prevent that and create a new wave of excitement about returning to school.  ",Concluding Statement,Effective
5f20ed34ee51,023CEE52C08C,"In the article ""The Challenge of Exploring Venus"", it tals about how scientest are working on new technology to overcome the chalanges of Venus and its complications. ",Position,Ineffective
7ff80a11c483,023CEE52C08C,"In the begining of the artical it talks abou how Venus isthe second closest planet from the sun and how it is one of the two most similar planets to Earth. Since it has similarities to Earths' size and density scientest have sentunmanded spacecrafts to Venus to investigate.

Unfortunatlly no space craft has survived acording to the last two sentances of paragraph two. In the beginning of paragraph three it states how a thick atmosphere of almost 97 percent of carbon dioxide engulfs Venus. The clouds on this planet are also highly currosive with sulfuric acid in them. The planets surface averages about 800 degrees Fahrenheit and the atmospheric presure is 90 times greater than on Earth. This concludes that Venus has the hotest surface tempreature of any planet in our solar system. Venus also has obsticals like erupting valcanos, earthquakes, and frequent lightning stikes on the planets surface. ",Evidence,Ineffective
6460c3c57613,023CEE52C08C,With all these complications though scientest still are curious about this dangerous planet. ,Claim,Adequate
0859f09e1301,023CEE52C08C,"In the second sentance of the fourth paragraph it explains that astronomers are curious because it may have been the most Earth like planet in our solar system. The planet resembles a surface with rocky sediment and includes things such as valleys, mountains, and craters.

In the fifth paragraph it states that NASA is coming up with possible solutions to avoid most of these issues. One of them is inventing is a small vehical that resembles a blimp floating 30 miles above Venus's landscape. 
",Evidence,Ineffective
